run_timestamp,results_format,topic,experiment,phase,eval_split,train_split,n,accuracy,macro_f1,total_seconds,n_synthetic,classifier,run_dir
2026-05-31 12:16:31,session,setfit,setfit05_verification_v2,final,eval_1000,train_100,1000,0.539,0.5423,174.5913,16.0,setfit,setfit/setfit05_verification_v2/20260531_121631
2026-05-31 10:58:53,session,setfit,setfit03_high_conf,final,eval_1000,train_100,1000,0.541,0.5413,184.8589,23.0,setfit,setfit/setfit03_high_conf/20260531_105853
2026-06-01 20:18:08,session,setfit,setfit08_gemma_synth,post,holdout_500,train_100,500,0.534,0.5409,184.9432,30.0,setfit,setfit/setfit08_gemma_synth/20260601_201808
2026-06-01 20:33:33,session,setfit,setfit10_acceptance_band,pre,holdout_500,train_100,500,0.53,0.5375,145.4686,30.0,setfit,setfit/setfit10_acceptance_band/20260601_203333
2026-06-01 20:18:08,session,setfit,setfit08_gemma_synth,pre,holdout_500,train_100,500,0.53,0.5375,235.3612,30.0,setfit,setfit/setfit08_gemma_synth/20260601_201808
2026-05-31 12:25:04,session,setfit,setfit07_variation_rewrite,pre,holdout_500,train_100,500,0.53,0.5375,145.1978,30.0,setfit,setfit/setfit07_variation_rewrite/20260531_122504
2026-05-31 12:16:31,session,setfit,setfit05_verification_v2,pre,holdout_500,train_100,500,0.53,0.5375,145.3428,16.0,setfit,setfit/setfit05_verification_v2/20260531_121631
2026-05-31 11:27:24,session,setfit,setfit04_low_conf,pre,holdout_500,train_100,500,0.53,0.5375,144.9221,30.0,setfit,setfit/setfit04_low_conf/20260531_112724
2026-05-31 11:18:24,session,setfit,setfit06_diversity_mutation,pre,holdout_500,train_100,500,0.53,0.5375,146.7034,30.0,setfit,setfit/setfit06_diversity_mutation/20260531_111824
2026-05-31 10:58:53,session,setfit,setfit03_high_conf,pre,holdout_500,train_100,500,0.53,0.5375,147.7219,23.0,setfit,setfit/setfit03_high_conf/20260531_105853
2026-05-31 10:48:07,session,setfit,setfit02_uncertainty_synth,pre,holdout_500,train_100,500,0.53,0.5375,145.0375,30.0,setfit,setfit/setfit02_uncertainty_synth/20260531_104807
2026-05-31 10:25:15,session,setfit,setfit01_baseline,baseline,holdout_500,train_100,500,0.53,0.5375,447.7745,0.0,setfit,setfit/setfit01_baseline/20260531_102515
2026-05-31 10:48:07,session,setfit,setfit02_uncertainty_synth,post,holdout_500,train_100,500,0.534,0.5347,187.4431,30.0,setfit,setfit/setfit02_uncertainty_synth/20260531_104807
2026-05-31 10:58:53,session,setfit,setfit03_high_conf,post,holdout_500,train_100,500,0.514,0.5095,178.3114,23.0,setfit,setfit/setfit03_high_conf/20260531_105853
2026-06-01 20:33:33,session,setfit,setfit10_acceptance_band,post,holdout_500,train_100,500,0.51,0.5089,183.8291,30.0,setfit,setfit/setfit10_acceptance_band/20260601_203333
2026-05-31 12:16:31,session,setfit,setfit05_verification_v2,post,holdout_500,train_100,500,0.502,0.5008,168.3765,16.0,setfit,setfit/setfit05_verification_v2/20260531_121631
